amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	order-item-id 
503-8046232-6597445	503-8046232-6597445	2026-08-26T14:29:25+09:00	2026-08-26T14:29:29+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 薄型 老眼鏡 リーディンググラス ブルーライトカット レディース メンズ おしゃれ 鯖江企画SI-01SA-1A +3	FISI-01SA-1A-300	B09TZS6YJG	Unshipped	1	JPY	3927.0									埼玉県	338-0001	JP		15671176408645
249-7919005-0507856	249-7919005-0507856	2026-08-26T14:29:00+09:00	2026-08-26T14:29:04+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 跳ね上げ式 老眼鏡 薄型リーディンググラス 軽量 ブルーライトカット UVカット メンズ 鯖江企画 SI-07-1	FISI07-1+150	B085Q41JSP	Unshipped	1	JPY	4488.0									栃木県	321-2335	JP		15670865066085
250-1825272-6250213	250-1825272-6250213	2026-08-26T13:41:08+09:00	2026-08-26T13:41:11+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[SCANDINAVIAN PATTERN COLLECTION] 老眼鏡 北欧柄 ブルーライトカット 専用ケース付 SPC-009-2+1.50	SPC-009-2-15	B0DJSK9NMD	Unshipped	1	JPY	3085.0									埼玉県	330-0064	JP		15671393264485
250-6555849-9658203	250-6555849-9658203	2026-08-26T00:03:34+09:00	2026-08-26T13:35:23+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 老眼鏡 薄型リーディンググラス 可動式鼻パッド ラウンド レディース メンズ おしゃれ シルバー SI-05-	FISI05-1 +1.00	B07N6QWBGG	Shipped	1	JPY	3366.0	306.0								東京都	124-0025	JP		15660150067445
503-6882092-2491828	503-6882092-2491828	2026-08-26T00:55:09+09:00	2026-08-26T13:35:22+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 跳ね上げ式 老眼鏡 メンズ レディース おしゃれ 薄型リーディンググラス UVカット ケース付き SI-13-3 +3	SI-13-3-30	B0CYGRYS8R	Shipped	1	JPY	5610.0	510.0								千葉県	274-0815	JP		15660352086645
250-9837898-1907804		2026-08-26T11:58:10+09:00	2026-08-26T13:32:27+09:00	Shipped	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	[SAKAE] フック付き大型スポーツカジュアルタイプのメガネケース（眼鏡ケース） B-120「縦型ポーチL」 (迷彩グリーン)	B-120-GRN	B0C7Z3LZQT	Shipped	1	JPY	1100.0	100.0								兵庫県	670-0896	JP		15670033952765
250-8058124-6072647		2026-08-26T13:29:27+09:00	2026-08-26T13:31:59+09:00	Pending	Merchant	Amazon.co.jp	WebsiteOrderChannel		Standard	ストラップ付きメガネケース 日本製 めがねのまち鯖江企画・デザイン スリム BSC-001 (グレージュ)	BSC-001-2	B0DQXW2FG2	Unshipped	1	JPY	2420.0	220.0								福岡県	818-0041	JP		15671105964245
249-1326352-3769446	249-1326352-3769446	2026-08-25T22:26:01+09:00	2026-08-26T12:46:25+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	FEEL LIFE リーディンググラス FLM-001-1+2.50 シルバー メンズ	FIFLM-001-1 +2.50	B076HML1QZ	Shipped	1	JPY	3085.0	280.0								大阪府	533-0007	JP		15659783890085
503-8701535-7092614	503-8701535-7092614	2026-08-26T12:37:06+09:00	2026-08-26T12:37:09+09:00	Pending	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 跳ね上げ式 老眼鏡 薄型リーディンググラス 軽量 ブルーライトカット UVカット メンズ 鯖江企画 SI-07-1	FISI07-1+200	B085Q5YYF1	Unshipped	1	JPY	4488.0									大阪府	596-0005	JP		15671015111165
249-6115174-9615835	249-6115174-9615835	2026-08-26T01:28:59+09:00	2026-08-26T12:20:14+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 老眼鏡 薄型リーディンググラス 可動式鼻パッド ラウンド レディース メンズ おしゃれ シルバー SI-05-	FISI05-1 +1.00	B07N6QWBGG	Shipped	1	JPY	3366.0	306.0								大阪府	572-0839	JP		15660464642845
503-3019702-4861466	503-3019702-4861466	2026-08-24T22:21:23+09:00	2026-08-26T12:10:58+09:00	Shipped	Amazon	Amazon.co.jp			Expedited	[SHIORI] 栞 薄型 老眼鏡 リーディンググラス ブルーライトカット レディース メンズ おしゃれ 鯖江企画SI-01SA-1A +1	FISI-01SA-1A-150	B09TZSYWVF	Shipped	1	JPY	3927.0	357.0								東京都	136-0072	JP		15654949281765
